currency,date,rates
RON,2018-02-04,0.2015
RUB,2018-02-04,3.0488
SEK,2018-02-04,0.42602
SGD,2018-02-04,0.07117
THB,2018-02-04,1.7013
TRY,2018-02-04,0.20296
USD,2018-02-04,0.054181
ZAR,2018-02-04,0.64877
AUD,2018-02-03,0.067791
BGN,2018-02-03,0.084828
BRL,2018-02-03,0.17346
CAD,2018-02-03,0.066738
CHF,2018-02-03,0.050295
CNY,2018-02-03,0.34069
CZK,2018-02-03,1.0926
DKK,2018-02-03,0.32282
EUR,2018-02-03,0.043373
GBP,2018-02-03,0.038103
HKD,2018-02-03,0.42372
HRK,2018-02-03,0.32247
HUF,2018-02-03,13.423
IDR,2018-02-03,729.61
ILS,2018-02-03,0.18606
INR,2018-02-03,3.4707
ISK,2018-02-03,5.4303
JPY,2018-02-03,5.9516
KRW,2018-02-03,58.779
MYR,2018-02-03,0.2106
NOK,2018-02-03,0.41492
NZD,2018-02-03,0.07356
PHP,2018-02-03,2.7971
PLN,2018-02-03,0.18017
RON,2018-02-03,0.2015
RUB,2018-02-03,3.0488
SEK,2018-02-03,0.42602
SGD,2018-02-03,0.07117
THB,2018-02-03,1.7013
TRY,2018-02-03,0.20296
USD,2018-02-03,0.054181
ZAR,2018-02-03,0.64877
AUD,2018-02-02,0.067791
BGN,2018-02-02,0.084828
BRL,2018-02-02,0.17346
CAD,2018-02-02,0.066738
CHF,2018-02-02,0.050295
CNY,2018-02-02,0.34069
CZK,2018-02-02,1.0926
DKK,2018-02-02,0.32282
EUR,2018-02-02,0.043373
GBP,2018-02-02,0.038103
HKD,2018-02-02,0.42372
HRK,2018-02-02,0.32247
HUF,2018-02-02,13.423
IDR,2018-02-02,729.61
ILS,2018-02-02,0.18606
INR,2018-02-02,3.4707
ISK,2018-02-02,5.4303
JPY,2018-02-02,5.9516
KRW,2018-02-02,58.779
MYR,2018-02-02,0.2106
NOK,2018-02-02,0.41492
NZD,2018-02-02,0.07356
PHP,2018-02-02,2.7971
PLN,2018-02-02,0.18017
RON,2018-02-02,0.2015
RUB,2018-02-02,3.0488
SEK,2018-02-02,0.42602
SGD,2018-02-02,0.07117
THB,2018-02-02,1.7013
TRY,2018-02-02,0.20296
USD,2018-02-02,0.054181
ZAR,2018-02-02,0.64877
AUD,2018-02-01,0.067299
BGN,2018-02-01,0.084553
BRL,2018-02-01,0.17071
CAD,2018-02-01,0.066353
CHF,2018-02-01,0.050162
CNY,2018-02-01,0.33916
CZK,2018-02-01,1.0923
DKK,2018-02-01,0.32177
EUR,2018-02-01,0.043232
GBP,2018-02-01,0.037837
HKD,2018-02-01,0.42121
HRK,2018-02-01,0.32132
HUF,2018-02-01,13.405
IDR,2018-02-01,722.71
ILS,2018-02-01,0.18467
INR,2018-02-01,3.4484
ISK,2018-02-01,5.4044
JPY,2018-02-01,5.9064
KRW,2018-02-01,57.693
MYR,2018-02-01,0.21028
NOK,2018-02-01,0.41375
NZD,2018-02-01,0.073252
PHP,2018-02-01,2.7811
PLN,2018-02-01,0.1796
RON,2018-02-01,0.20124
RUB,2018-02-01,3.0315
SEK,2018-02-01,0.4238
SGD,2018-02-01,0.070693
THB,2018-02-01,1.6891
TRY,2018-02-01,0.20179
USD,2018-02-01,0.053863
ZAR,2018-02-01,0.64087
AUD,2018-01-31,0.06612
BGN,2018-01-31,0.084207
BRL,2018-01-31,0.1695
CAD,2018-01-31,0.065831
CHF,2018-01-31,0.050077
CNY,2018-01-31,0.33729
CZK,2018-01-31,1.0881
DKK,2018-01-31,0.32041
EUR,2018-01-31,0.043055
GBP,2018-01-31,0.03785
HKD,2018-01-31,0.41941
HRK,2018-01-31,0.32001
HUF,2018-01-31,13.375
IDR,2018-01-31,717.39
ILS,2018-01-31,0.18265
INR,2018-01-31,3.4091
JPY,2018-01-31,5.8383
KRW,2018-01-31,57.134
MYR,2018-01-31,0.20915
NOK,2018-01-31,0.41169
NZD,2018-01-31,0.072346
PHP,2018-01-31,2.75
PLN,2018-01-31,0.17869
RON,2018-01-31,0.2004
RUB,2018-01-31,3.017
SEK,2018-01-31,0.42041
SGD,2018-01-31,0.070128
THB,2018-01-31,1.6793
TRY,2018-01-31,0.20121
USD,2018-01-31,0.053634
ZAR,2018-01-31,0.63644
AUD,2018-01-30,0.066345
BGN,2018-01-30,0.084561
BRL,2018-01-30,0.16983
CAD,2018-01-30,0.066168
CHF,2018-01-30,0.050106
CNY,2018-01-30,0.33969
CZK,2018-01-30,1.0952
DKK,2018-01-30,0.32174
EUR,2018-01-30,0.043236
GBP,2018-01-30,0.038017
HKD,2018-01-30,0.41989
HRK,2018-01-30,0.32076
HUF,2018-01-30,13.42
IDR,2018-01-30,719.01
ILS,2018-01-30,0.18257
INR,2018-01-30,3.4181
JPY,2018-01-30,5.836
KRW,2018-01-30,57.469
MYR,2018-01-30,0.20947
NOK,2018-01-30,0.41345
NZD,2018-01-30,0.073228
PHP,2018-01-30,2.7564
PLN,2018-01-30,0.17921
RON,2018-01-30,0.2011
RUB,2018-01-30,3.0087
SEK,2018-01-30,0.42295
SGD,2018-01-30,0.070388
THB,2018-01-30,1.6868
TRY,2018-01-30,0.20249
USD,2018-01-30,0.053703
ZAR,2018-01-30,0.6398
AUD,2018-01-29,0.066438
BGN,2018-01-29,0.084917
BRL,2018-01-29,0.17024
CAD,2018-01-29,0.066295
CHF,2018-01-29,0.050204
CNY,2018-01-29,0.34032
CZK,2018-01-29,1.0983
DKK,2018-01-29,0.32315
EUR,2018-01-29,0.043418
GBP,2018-01-29,0.038182
HKD,2018-01-29,0.42021
HRK,2018-01-29,0.32224
HUF,2018-01-29,13.431
IDR,2018-01-29,720.17
ILS,2018-01-29,0.18292
INR,2018-01-29,3.4172
JPY,2018-01-29,5.8506
KRW,2018-01-29,57.516
MYR,2018-01-29,0.20891
NOK,2018-01-29,0.41485
NZD,2018-01-29,0.073294
PHP,2018-01-29,2.7632
PLN,2018-01-29,0.17991
RON,2018-01-29,0.20202
RUB,2018-01-29,3.0333
SEK,2018-01-29,0.42473
SGD,2018-01-29,0.070424
THB,2018-01-29,1.6898
TRY,2018-01-29,0.203
USD,2018-01-29,0.053747
ZAR,2018-01-29,0.64371
AUD,2018-01-28,0.066675
BGN,2018-01-28,0.084788
BRL,2018-01-28,0.16972
CAD,2018-01-28,0.066437
CHF,2018-01-28,0.050427
CNY,2018-01-28,0.34115
CZK,2018-01-28,1.0993
DKK,2018-01-28,0.32266
EUR,2018-01-28,0.043352
GBP,2018-01-28,0.037861
HKD,2018-01-28,0.42148
HRK,2018-01-28,0.32163
HUF,2018-01-28,13.43
IDR,2018-01-28,717.87
ILS,2018-01-28,0.18273
INR,2018-01-28,3.4294
JPY,2018-01-28,5.8937
KRW,2018-01-28,57.385
MYR,2018-01-28,0.20887
NOK,2018-01-28,0.41468
NZD,2018-01-28,0.073451
PHP,2018-01-28,2.7525
PLN,2018-01-28,0.17957
RON,2018-01-28,0.20229
RUB,2018-01-28,3.014
SEK,2018-01-28,0.42487
SGD,2018-01-28,0.070486
THB,2018-01-28,1.6923
TRY,2018-01-28,0.20217
USD,2018-01-28,0.053913
ZAR,2018-01-28,0.64109
AUD,2018-01-27,0.066675
BGN,2018-01-27,0.084788
BRL,2018-01-27,0.16972
CAD,2018-01-27,0.066437
CHF,2018-01-27,0.050427
CNY,2018-01-27,0.34115
CZK,2018-01-27,1.0993
DKK,2018-01-27,0.32266
EUR,2018-01-27,0.043352
GBP,2018-01-27,0.037861
HKD,2018-01-27,0.42148
HRK,2018-01-27,0.32163
HUF,2018-01-27,13.43
IDR,2018-01-27,717.87
ILS,2018-01-27,0.18273
INR,2018-01-27,3.4294
JPY,2018-01-27,5.8937
KRW,2018-01-27,57.385
MYR,2018-01-27,0.20887
NOK,2018-01-27,0.41468
NZD,2018-01-27,0.073451
PHP,2018-01-27,2.7525
PLN,2018-01-27,0.17957
RON,2018-01-27,0.20229
RUB,2018-01-27,3.014
SEK,2018-01-27,0.42487
SGD,2018-01-27,0.070486
THB,2018-01-27,1.6923
TRY,2018-01-27,0.20217
USD,2018-01-27,0.053913
ZAR,2018-01-27,0.64109
AUD,2018-01-26,0.066675
BGN,2018-01-26,0.084788
BRL,2018-01-26,0.16972
CAD,2018-01-26,0.066437
CHF,2018-01-26,0.050427
CNY,2018-01-26,0.34115
CZK,2018-01-26,1.0993
DKK,2018-01-26,0.32266
EUR,2018-01-26,0.043352
GBP,2018-01-26,0.037861
HKD,2018-01-26,0.42148
HRK,2018-01-26,0.32163
HUF,2018-01-26,13.43
IDR,2018-01-26,717.87
ILS,2018-01-26,0.18273
INR,2018-01-26,3.4294
JPY,2018-01-26,5.8937
KRW,2018-01-26,57.385
MYR,2018-01-26,0.20887
NOK,2018-01-26,0.41468
NZD,2018-01-26,0.073451
PHP,2018-01-26,2.7525
PLN,2018-01-26,0.17957
RON,2018-01-26,0.20229
RUB,2018-01-26,3.014
SEK,2018-01-26,0.42487
SGD,2018-01-26,0.070486
THB,2018-01-26,1.6923
TRY,2018-01-26,0.20217
USD,2018-01-26,0.053913
ZAR,2018-01-26,0.64109
AUD,2018-01-25,0.067121
BGN,2018-01-25,0.085477
BRL,2018-01-25,0.17072
CAD,2018-01-25,0.06682
CHF,2018-01-25,0.051047
CNY,2018-01-25,0.34329
CZK,2018-01-25,1.1093
DKK,2018-01-25,0.32535
EUR,2018-01-25,0.043704
GBP,2018-01-25,0.038039
HKD,2018-01-25,0.42392
HRK,2018-01-25,0.32448
HUF,2018-01-25,13.52
IDR,2018-01-25,720.82
ILS,2018-01-25,0.18456
INR,2018-01-25,3.4467
JPY,2018-01-25,5.9053
KRW,2018-01-25,57.445
MYR,2018-01-25,0.21069
NOK,2018-01-25,0.41894
NZD,2018-01-25,0.073524
PHP,2018-01-25,2.7616
PLN,2018-01-25,0.18124
RON,2018-01-25,0.20407
RUB,2018-01-25,3.0279
SEK,2018-01-25,0.42912
SGD,2018-01-25,0.07081
THB,2018-01-25,1.7037
TRY,2018-01-25,0.20283
USD,2018-01-25,0.054224
ZAR,2018-01-25,0.64512
AUD,2018-01-24,0.066844
BGN,2018-01-24,0.085391
BRL,2018-01-24,0.17218
CAD,2018-01-24,0.066491
CHF,2018-01-24,0.051236
CNY,2018-01-24,0.34369
CZK,2018-01-24,1.1078
DKK,2018-01-24,0.32506
EUR,2018-01-24,0.04366
GBP,2018-01-24,0.038065
HKD,2018-01-24,0.42157
HRK,2018-01-24,0.32451
HUF,2018-01-24,13.492
IDR,2018-01-24,718.22
ILS,2018-01-24,0.18388
INR,2018-01-24,3.4349
JPY,2018-01-24,5.8998
KRW,2018-01-24,57.427
MYR,2018-01-24,0.21083
NOK,2018-01-24,0.42034
NZD,2018-01-24,0.072813
PHP,2018-01-24,2.7414
PLN,2018-01-24,0.18147
RON,2018-01-24,0.20367
RUB,2018-01-24,3.0375
SEK,2018-01-24,0.42928
SGD,2018-01-24,0.070647
THB,2018-01-24,1.7042
TRY,2018-01-24,0.20199
USD,2018-01-24,0.053929
ZAR,2018-01-24,0.6453
AUD,2018-01-23,0.066625
BGN,2018-01-23,0.084806
BRL,2018-01-23,0.17107
CAD,2018-01-23,0.066295
CHF,2018-01-23,0.051075
CNY,2018-01-23,0.34024
CZK,2018-01-23,1.1015
DKK,2018-01-23,0.32276
EUR,2018-01-23,0.043361
GBP,2018-01-23,0.038084
HKD,2018-01-23,0.41523
HRK,2018-01-23,0.3222
HUF,2018-01-23,13.448
IDR,2018-01-23,708.74
ILS,2018-01-23,0.18159
INR,2018-01-23,3.3873
JPY,2018-01-23,5.869
KRW,2018-01-23,57.142
MYR,2018-01-23,0.2088
NOK,2018-01-23,0.41792
NZD,2018-01-23,0.072509
